"date","q1_easy","q1_borough","q2_medium","q2_borough","q3_medium","q3_borough","q4_hard","q4_borough","q5_im_walking_here","q5_borough","status","notes"
"2026-08-11","American Museum of Natural History","Manhattan","Forest Park Carousel","Queens","Rainey Memorial Gates","The Bronx","Jacques Marchais Center of Tibetan Art","Staten Island","New York Architectural Terra Cotta Company Office Building","Queens","scheduled",""
"2026-08-12","South Street Seaport","Manhattan","Federal Hall National Memorial","Manhattan","Biltmore Theater","Manhattan","Astoria Center of Israel","Queens","Old Stone House of Brooklyn","Brooklyn","scheduled",""
"2026-08-13","The Metropolitan Museum of Art","Manhattan","Litchfield Villa","Brooklyn","Alice Austen House","Staten Island","Bronx Borough Courthouse","The Bronx","Circle Line X","Manhattan","scheduled",""
"2026-08-14","Grant’s Tomb","Manhattan","Brooklyn Public Library","Brooklyn","Williamsbridge Oval Park","The Bronx","Richmond Terrace Cemeteries","Staten Island","St. James' Episcopal Church and Parish House","The Bronx","scheduled",""
"2026-08-15","Parachute Jump","Brooklyn","New Amsterdam Theater","Manhattan","Brooklyn Borough Hall","Brooklyn","Erasmus Hall Academy","Brooklyn","Gardiner-Tyler House","Staten Island","scheduled",""
"2026-08-16","Cooper Union","Manhattan","Conference House","Staten Island","Jerome Park Reservoir","The Bronx","Staten Island Light","Staten Island","Allen-Beville House","Queens","scheduled",""
"2026-08-17","Central Park","Manhattan","Morris–Jumel Mansion","Manhattan","Marine Air Terminal, La Guardia Airport","Queens","Jewish Center of Coney Island","Brooklyn","Billou-Stillwell-Perine House","Staten Island","scheduled",""
"2026-08-18","New York Stock Exchange","Manhattan","Bartow-Pell Mansion and Carriage House","The Bronx","Washington Bridge","The Bronx","Beth Olam Cemetery","Queens","Hall of Fame Complex","The Bronx","scheduled",""
"2026-08-19","Carnegie Hall","Manhattan","Port Morris Ferry Bridges","The Bronx","Battery Weed","Staten Island","Kurtz, J., and Sons Store Building","Queens","Frederick Law Olmsted Sr. Farmhouse","Staten Island","scheduled",""
"2026-08-20","Flatiron Building","Manhattan","Ridgewood Reservoir","Brooklyn","Woodlawn Cemetery","The Bronx","Nassau Brewery","Brooklyn","Corbin Building","Manhattan","scheduled",""
"2026-08-21","Brooklyn Academy of Music","Brooklyn","Sailors' Snug Harbor","Staten Island","The Public Theater","Manhattan","Duke, James B., Mansion","Manhattan","Bayard Rustin Apartment","Manhattan","scheduled",""
"2026-08-22","Brooklyn Bridge","Brooklyn","Old Quaker Meetinghouse","Queens","Floyd Bennett Field","Brooklyn","Benevolent and Protective Order of Elks, Lodge #878","Queens","Bell Telephone Laboratories","Manhattan","scheduled",""
